week,cpd,breach_bucket,breach_sub_bucket,service_profile,logistics_carrier,is_shopsy_order,units
47,2024-11-17,SC Breach,FC,FBF,FSD,false,395
47,2024-11-17,SC Breach,FC,FBF,FSD,true,10
47,2024-11-18,SC Breach,FC,FBF,FSD,true,8
47,2024-11-18,SC Breach,FC,FBF,FSD,false,539
47,2024-11-19,SC Breach,FC,FBF,FSD,true,18
47,2024-11-19,SC Breach,FC,FBF,FSD,false,535
47,2024-11-20,SC Breach,FC,FBF,FSD,true,6
47,2024-11-20,SC Breach,FC,FBF,FSD,false,283
47,2024-11-21,SC Breach,FC,FBF,FSD,false,475
47,2024-11-21,SC Breach,FC,FBF,FSD,true,6
47,2024-11-22,SC Breach,FC,FBF,FSD,true,9
47,2024-11-22,SC Breach,FC,FBF,FSD,false,683
47,2024-11-23,SC Breach,FC,FBF,FSD,false,183
47,2024-11-23,SC Breach,FC,FBF,FSD,true,3
48,2024-11-24,SC Breach,FC,FBF,FSD,false,186
48,2024-11-24,SC Breach,FC,FBF,FSD,true,4
48,2024-11-25,SC Breach,FC,FBF,FSD,false,294
48,2024-11-25,SC Breach,FC,FBF,FSD,true,11
48,2024-11-26,SC Breach,FC,FBF,FSD,false,252
48,2024-11-26,SC Breach,FC,FBF,FSD,true,5
48,2024-11-27,SC Breach,FC,FBF,FSD,false,922
48,2024-11-27,SC Breach,FC,FBF,FSD,true,7
48,2024-11-28,SC Breach,FC,FBF,FSD,true,10
48,2024-11-28,SC Breach,FC,FBF,FSD,false,889
48,2024-11-29,SC Breach,FC,FBF,FSD,true,37
48,2024-11-29,SC Breach,FC,FBF,FSD,false,2290
48,2024-11-30,SC Breach,FC,FBF,FSD,false,788
48,2024-11-30,SC Breach,FC,FBF,FSD,true,8
49,2024-12-01,SC Breach,FC,FBF,FSD,false,474
49,2024-12-01,SC Breach,FC,FBF,FSD,true,6
49,2024-12-02,SC Breach,FC,FBF,FSD,false,293
49,2024-12-02,SC Breach,FC,FBF,FSD,true,4
49,2024-12-03,SC Breach,FC,FBF,FSD,false,859
49,2024-12-03,SC Breach,FC,FBF,FSD,true,12
49,2024-12-04,SC Breach,FC,FBF,FSD,true,20
49,2024-12-04,SC Breach,FC,FBF,FSD,false,1196
49,2024-12-05,SC Breach,FC,FBF,FSD,true,5
49,2024-12-05,SC Breach,FC,FBF,FSD,false,340
49,2024-12-06,SC Breach,FC,FBF,FSD,false,782
49,2024-12-06,SC Breach,FC,FBF,FSD,true,24
49,2024-12-07,SC Breach,FC,FBF,FSD,true,11
49,2024-12-07,SC Breach,FC,FBF,FSD,false,419
